"bucket","prefix","depth","count_distinct_key","max_depth","avg_depth","max_size","min_size","avg_size","sum_size","count_distinct_suffix","distinct_suffix","count_distinct_storage_class","distinct_storage_class","is_intt","ratio_intt_coverage_count","ratio_intt_coverage_size","is_version","count_version","ratio_version_latest_count","ratio_version_latest_size","max_last_modified_date","max_days_since_last_modified","min_last_modified_date","min_days_since_last_modified","avg_days_since_last_modified","count_distinct_owner","distinct_owner"
"sample-bucket","InjectorSteeringrack",1,"23",4,"3","158848","64","24669","16577664","3","{enc,jks,json}","1","{STANDARD_IA}","False","0","0.000000000000000000000000","True","396","17","0.32736095990363901693","2023-03-19 06:09:27","423","2022-06-13 11:03:42","702","493","0","{NULL}"
"sample-bucket","InjectorSteeringrack/SteeringrackOxygensensor",2,"22",4,"3","158848","64","25914","15107840","3","{enc,jks,json}","1","{STANDARD_IA}","False","0","0.000000000000000000000000","True","341","15","0.32527958993476234856","2023-03-19 06:09:27","423","2022-06-13 11:03:42","702","485","0","{NULL}"
"sample-bucket","InjectorSteeringrack/SteeringrackOxygensensor/SuperchargerEmpennage-MasonryLeafspring",3,"4",4,"3","143312","64","31930","894048","3","{enc,jks,json}","1","{STANDARD_IA}","False","0","0.000000000000000000000000","True","20","5","0.66337377858906904327","2023-03-08 18:32:34","434","2022-09-19 09:07:18","604","531","0","{NULL}"
"sample-bucket","InjectorSteeringrack/SteeringrackOxygensensor/SuperchargerEmpennage-MasonryLeafspring/JoistLandinggear",4,"2",4,"4","143312","2496","73512","441072","1","{jks}","1","{STANDARD_IA}","False","0","0.000000000000000000000000","True","4","2","0.66528820691406391700","2022-09-22 10:15:49","601","2022-09-19 09:07:18","604","603","0","{NULL}"
"sample-bucket","InjectorSteeringrack/SteeringrackOxygensensor/SuperchargerEmpennage-ThrustCabinfilter-MasonryLeafspring",3,"8",4,"3","158848","64","22142","929984","3","{enc,jks,json}","1","{STANDARD_IA}","False","0","0.000000000000000000000000","True","26","3","0.32193242034271557360","2023-03-19 06:09:27","423","2022-11-12 09:38:47","550","449","0","{NULL}"
"sample-bucket","InjectorSteeringrack/SteeringrackOxygensensor/SuperchargerEmpennage-ThrustCabinfilter-MasonryLeafspring/JoistLandinggear",4,"2",4,"4","158848","4320","81584","163168","1","{jks}","1","{STANDARD_IA}","False","0","0.000000000000000000000000","False","0","0","0.000000000000000000000000","2022-11-12 09:39:06","550","2022-11-12 09:38:47","550","550","0","{NULL}"
"sample-bucket","InjectorSteeringrack/SteeringrackOxygensensor/SuperchargerEmpennage-ThrustCabinfilter-PlumbExtravehicular",3,"4",4,"3","141872","64","22978","597440","3","{enc,jks,json}","1","{STANDARD_IA}","False","0","0.000000000000000000000000","True","18","4","0.50026780931976432780","2023-03-19 06:09:27","423","2023-03-05 08:53:33","437","432","0","{NULL}"
"sample-bucket","InjectorSteeringrack/SteeringrackOxygensensor/SuperchargerEmpennage-ThrustCabinfilter-PlumbExtravehicular/JoistLandinggear",4,"2",4,"4","141872","4320","73136","292544","1","{jks}","1","{STANDARD_IA}","False","0","0.000000000000000000000000","True","2","1","0.49972653686283089040","2023-03-19 06:09:25","423","2023-03-05 08:53:33","437","430","0","{NULL}"
"sample-bucket","InjectorSteeringrack/SteeringrackOxygensensor/ClutchClutch",3,"8",4,"3","158848","64","19704","630528","3","{enc,jks,json}","1","{STANDARD_IA}","False","0","0.000000000000000000000000","True","16","2","0.00162403572878603329","2023-03-08 18:32:42","434","2022-06-13 11:03:42","702","494","0","{NULL}"
"sample-bucket","InjectorSteeringrack/SteeringrackOxygensensor/ClutchClutch/JoistLandinggear",4,"2",4,"4","158848","4320","81584","163168","1","{jks}","1","{STANDARD_IA}","False","0","0.000000000000000000000000","False","0","0","0.000000000000000000000000","2022-06-13 11:04:05","702","2022-06-13 11:03:42","702","702","0","{NULL}"
